name,identifier,type,website
"badbenjamin","badbenjamin","individual","https://github.com/Badbenjamin"
"FloodNet NYC","floodnet-nyc","academic","https://www.floodnet.nyc/"
"Housing Data Coalition","housing-data-coalition","non-profit","https://www.housingdatanyc.org/"
"martinezc1","martinezc1","individual","https://github.com/martinezc1"
"nickpapacostas","nickpapacostas","individual","https://github.com/NickPapacostas"
"rolyatmax","rolyatmax","individual","https://tbaldw.in/"
"UrbanTK","urban-tk","academic","https://urbantk.org/"
"voberoi","voberoi","individual","https://vikramoberoi.com/"
"yz3440","yz3440","individual","https://www.yufengzhao.com/"
